,img_link,Name,price,region,description,use,gearbox,mileage
97,https://pictures-kenya.jijistatic.com/34788694_MzAwLTIyNS0xMzAwODg3NTRh.webp,Mazda Axela 2015 Blue,"KSh 1,650,000"," Mombasa, Mombasa CBD",New shape Axelapetrol engine1500ccXenon headlightsdouble steering wheel buttonsfog lightsdvd...,Foreign Used,Automatic,155004km
98,https://pictures-kenya.jijistatic.com/34770018_MzAwLTIyNS0wOGEzMTJkYTk1.webp,Mazda Axela 2015 Silver,"KSh 1,570,000"," Nairobi, Kilimani",Mazda Axela :: Year 2015 :: 1500cc :: Petrol ::,Foreign Used,Automatic,
99,https://pictures-kenya.jijistatic.com/23283310_MzAwLTIyNS04M2RiMmMyNDlh.webp,Mazda Axela 2014 White,"KSh 1,430,000"," Mombasa, Mombasa CBD","Mazda axela 2014 model,1500cc petrol, mileage 58k,price 1.430m",Foreign Used,Automatic,58000km
100,https://pictures-kenya.jijistatic.com/34742327_MzAwLTIyMi1hYWRiNTFmMTc4.webp,Mazda Axela 2015 Red,"KSh 1,600,000"," Nairobi, Ridgeways",Mazda Axela 2016 model //1500cc skyactive //Auto Petro //winered //fully loaded,Foreign Used,Automatic,75000km
101,https://pictures-kenya.jijistatic.com/20715223_MzAwLTI0Ny1jOWZkM2YwMmMy.webp,Mazda Axela 2014 Gray,"KSh 1,400,000"," Mombasa, Ganjoni", 2015brownnew numberon hire purchase balance 12 monthscall,Foreign Used,Automatic,75448km
102,https://pictures-kenya.jijistatic.com/26223667_MzAwLTIyNS1kN2VjZjFmNzM3.webp,Mazda Axela 2014 Pearl,"KSh 1,550,000"," Mombasa, Mombasa CBD",Axela sallon. full loaded. low mileage. 2014 UNREGISTERED ( KDE* ),Foreign Used,Automatic,76000km
103,https://pictures-kenya.jijistatic.com/27232395_MzAwLTIyNS1mZWNiOTNiMjNj.webp,Mazda Axela 2014 Red,"KSh 1,500,000"," Mombasa, Mombasa CBD",Mazda Axela salonFully loadedFitted alloy rimsFog lightsReverse cameraMalipo Mos Mos accepted,Foreign Used,Automatic,
104,https://pictures-kenya.jijistatic.com/31681508_MzAwLTIyNS1hZTY0MTExNzk1.webp,Mazda Axela 2015 Black,"KSh 1,500,000"," Mombasa, Mvita","Mazda Axela hatchback black colour 2000cc engine capacity very clean and fully loaded with spoiler,...",Foreign Used,Automatic,89000km
105,https://pictures-kenya.jijistatic.com/28115382_MzAwLTIyNS1lYjQwNjVkODBj.webp,Mazda Axela 2014 SV Premium White,"KSh 1,450,000"," Mombasa, Mombasa CBD",Mazda axela 2014 Petrol auto fully loaded clean with no faultcall us now for the best deal.,Foreign Used,Automatic,74000km
106,https://pictures-kenya.jijistatic.com/33942043_MzAwLTQwMC1jZTBhMzQ1OGE4.webp,Mazda Axela 2015 Pearl,"KSh 1,530,000"," Nairobi, Kilimani",Mazda axela2015Petrol 1500cc,Foreign Used,Automatic,87000km
107,https://pictures-kenya.jijistatic.com/33905041_MzAwLTEzNS1lNjc1MWNjMWE0.webp,Mazda Axela 2015 Red,"KSh 1,680,000"," Nairobi, Nairobi Central","MAZDA AXELA hatchback2015 model // Rating 1500ccfresh importbank, sacco finance accepted",Foreign Used,Automatic,130000km
108,https://pictures-kenya.jijistatic.com/27045147_MzAwLTIyNS05MzBhZjk1YTRi.webp,Mazda Axela 2014 Matt Black,"KSh 1,430,000"," Mombasa, Mombasa CBD",We accept hire purchase... Mazda axela sports... No guarantors... No bank statement... ,Foreign Used,Automatic,63210km
